1652724016 INTERNAL *** MONITORD_STARTED ***
1652724013 INTERNAL *** DAGMAN_STARTED 8471223.0 ***
1652724017 create_dir_gw.dax_0_local SUBMIT 8471224.0 local - 1
1652724019 create_dir_gw.dax_0_local EXECUTE 8471224.0 local - 1
1652724022 create_dir_gw.dax_0_local JOB_TERMINATED 8471224.0 local - 1
1652724022 create_dir_gw.dax_0_local JOB_SUCCESS 0 local - 1
1652724022 create_dir_gw.dax_0_local POST_SCRIPT_STARTED 8471224.0 local - 1
1652724023 create_dir_gw.dax_0_local POST_SCRIPT_TERMINATED 8471224.0 local - 1
1652724027 create_dir_gw.dax_0_local POST_SCRIPT_SUCCESS 0 local - 1
1652724032 inference_ID0_ID0000029 SUBMIT 8471225.0 condorpool_symlink - 2
1652724032 inference_ID0_ID0000147 SUBMIT 8471226.0 condorpool_symlink - 3
1652724032 inference_ID0_ID0000389 SUBMIT 8471227.0 condorpool_symlink - 4
1652724032 inference_ID0_ID0000025 SUBMIT 8471228.0 condorpool_symlink - 5
1652724032 inference_ID0_ID0000267 SUBMIT 8471229.0 condorpool_symlink - 6
1652724032 inference_ID0_ID0000149 SUBMIT 8471230.0 condorpool_symlink - 7
1652724032 inference_ID0_ID0000027 SUBMIT 8471231.0 condorpool_symlink - 8
1652724032 inference_ID0_ID0000269 SUBMIT 8471232.0 condorpool_symlink - 9
1652724032 inference_ID0_ID0000143 SUBMIT 8471233.0 condorpool_symlink - 10
1652724032 inference_ID0_ID0000385 SUBMIT 8471234.0 condorpool_symlink - 11
1652724032 inference_ID0_ID0000021 SUBMIT 8471235.0 condorpool_symlink - 12
1652724033 inference_ID0_ID0000263 SUBMIT 8471236.0 condorpool_symlink - 13
1652724033 inference_ID0_ID0000145 SUBMIT 8471237.0 condorpool_symlink - 14
1652724033 inference_ID0_ID0000387 SUBMIT 8471238.0 condorpool_symlink - 15
1652724033 inference_ID0_ID0000023 SUBMIT 8471239.0 condorpool_symlink - 16
1652724033 inference_ID0_ID0000265 SUBMIT 8471240.0 condorpool_symlink - 17
1652724033 inference_ID0_ID0000381 SUBMIT 8471241.0 condorpool_symlink - 18
1652724033 inference_ID0_ID0000141 SUBMIT 8471242.0 condorpool_symlink - 19
1652724033 inference_ID0_ID0000383 SUBMIT 8471243.0 condorpool_symlink - 20
1652724033 inference_ID0_ID0000261 SUBMIT 8471244.0 condorpool_symlink - 21
1652724033 inference_ID0_ID0000037 SUBMIT 8471245.0 condorpool_symlink - 22
1652724033 inference_ID0_ID0000279 SUBMIT 8471246.0 condorpool_symlink - 23
1652724033 inference_ID0_ID0000157 SUBMIT 8471247.0 condorpool_symlink - 24
1652724033 inference_ID0_ID0000399 SUBMIT 8471248.0 condorpool_symlink - 25
1652724033 inference_ID0_ID0000039 SUBMIT 8471249.0 condorpool_symlink - 26
1652724033 inference_ID0_ID0000159 SUBMIT 8471250.0 condorpool_symlink - 27
1652724033 inference_ID0_ID0000033 SUBMIT 8471251.0 condorpool_symlink - 28
1652724034 inference_ID0_ID0000275 SUBMIT 8471252.0 condorpool_symlink - 29
1652724034 inference_ID0_ID0000153 SUBMIT 8471253.0 condorpool_symlink - 30
1652724034 inference_ID0_ID0000395 SUBMIT 8471254.0 condorpool_symlink - 31
1652724034 inference_ID0_ID0000035 SUBMIT 8471255.0 condorpool_symlink - 32
1652724034 inference_ID0_ID0000277 SUBMIT 8471256.0 condorpool_symlink - 33
1652724034 inference_ID0_ID0000155 SUBMIT 8471257.0 condorpool_symlink - 34
1652724034 inference_ID0_ID0000397 SUBMIT 8471258.0 condorpool_symlink - 35
1652724034 inference_ID0_ID0000271 SUBMIT 8471259.0 condorpool_symlink - 36
1652724034 inference_ID0_ID0000391 SUBMIT 8471260.0 condorpool_symlink - 37
1652724034 inference_ID0_ID0000031 SUBMIT 8471261.0 condorpool_symlink - 38
1652724034 inference_ID0_ID0000273 SUBMIT 8471262.0 condorpool_symlink - 39
1652724034 inference_ID0_ID0000151 SUBMIT 8471263.0 condorpool_symlink - 40
1652724034 inference_ID0_ID0000393 SUBMIT 8471264.0 condorpool_symlink - 41
1652724034 inference_ID0_ID0000291 SUBMIT 8471265.0 condorpool_symlink - 42
1652724034 inference_ID0_ID0000169 SUBMIT 8471266.0 condorpool_symlink - 43
1652724035 inference_ID0_ID0000047 SUBMIT 8471267.0 condorpool_symlink - 44
1652724035 inference_ID0_ID0000289 SUBMIT 8471268.0 condorpool_symlink - 45
1652724035 inference_ID0_ID0000049 SUBMIT 8471269.0 condorpool_symlink - 46
1652724035 inference_ID0_ID0000165 SUBMIT 8471270.0 condorpool_symlink - 47
1652724035 inference_ID0_ID0000043 SUBMIT 8471271.0 condorpool_symlink - 48
1652724035 inference_ID0_ID0000285 SUBMIT 8471272.0 condorpool_symlink - 49
1652724035 inference_ID0_ID0000167 SUBMIT 8471273.0 condorpool_symlink - 50
1652724035 inference_ID0_ID0000045 SUBMIT 8471274.0 condorpool_symlink - 51
1652724035 inference_ID0_ID0000287 SUBMIT 8471275.0 condorpool_symlink - 52
1652724035 inference_ID0_ID0000161 SUBMIT 8471276.0 condorpool_symlink - 53
1652724035 inference_ID0_ID0000281 SUBMIT 8471277.0 condorpool_symlink - 54
1652724035 inference_ID0_ID0000163 SUBMIT 8471278.0 condorpool_symlink - 55
