1652699724 INTERNAL *** MONITORD_STARTED ***
1652699721 INTERNAL *** DAGMAN_STARTED 8470437.0 ***
1652699726 create_dir_gw.dax_0_local SUBMIT 8470438.0 local - 1
1652699727 create_dir_gw.dax_0_local EXECUTE 8470438.0 local - 1
1652699729 create_dir_gw.dax_0_local JOB_TERMINATED 8470438.0 local - 1
1652699731 create_dir_gw.dax_0_local JOB_SUCCESS 0 local - 1
1652699731 create_dir_gw.dax_0_local POST_SCRIPT_STARTED 8470438.0 local - 1
1652699731 create_dir_gw.dax_0_local POST_SCRIPT_TERMINATED 8470438.0 local - 1
1652699736 create_dir_gw.dax_0_local POST_SCRIPT_SUCCESS 0 local - 1
1652699741 inference_ID0_ID0000029 SUBMIT 8470439.0 condorpool_symlink - 2
1652699741 inference_ID0_ID0000147 SUBMIT 8470440.0 condorpool_symlink - 3
1652699741 inference_ID0_ID0000389 SUBMIT 8470441.0 condorpool_symlink - 4
1652699741 inference_ID0_ID0000025 SUBMIT 8470442.0 condorpool_symlink - 5
1652699741 inference_ID0_ID0000267 SUBMIT 8470443.0 condorpool_symlink - 6
1652699741 inference_ID0_ID0000149 SUBMIT 8470444.0 condorpool_symlink - 7
1652699741 inference_ID0_ID0000027 SUBMIT 8470445.0 condorpool_symlink - 8
1652699742 inference_ID0_ID0000269 SUBMIT 8470446.0 condorpool_symlink - 9
1652699742 inference_ID0_ID0000143 SUBMIT 8470447.0 condorpool_symlink - 10
1652699742 inference_ID0_ID0000385 SUBMIT 8470448.0 condorpool_symlink - 11
1652699742 inference_ID0_ID0000021 SUBMIT 8470449.0 condorpool_symlink - 12
1652699742 inference_ID0_ID0000263 SUBMIT 8470450.0 condorpool_symlink - 13
1652699742 inference_ID0_ID0000145 SUBMIT 8470451.0 condorpool_symlink - 14
1652699742 inference_ID0_ID0000387 SUBMIT 8470452.0 condorpool_symlink - 15
1652699742 inference_ID0_ID0000023 SUBMIT 8470453.0 condorpool_symlink - 16
1652699742 inference_ID0_ID0000265 SUBMIT 8470454.0 condorpool_symlink - 17
1652699742 inference_ID0_ID0000381 SUBMIT 8470455.0 condorpool_symlink - 18
1652699742 inference_ID0_ID0000141 SUBMIT 8470456.0 condorpool_symlink - 19
1652699742 inference_ID0_ID0000383 SUBMIT 8470457.0 condorpool_symlink - 20
1652699742 inference_ID0_ID0000261 SUBMIT 8470458.0 condorpool_symlink - 21
1652699743 inference_ID0_ID0000037 SUBMIT 8470459.0 condorpool_symlink - 22
1652699743 inference_ID0_ID0000279 SUBMIT 8470460.0 condorpool_symlink - 23
1652699743 inference_ID0_ID0000157 SUBMIT 8470461.0 condorpool_symlink - 24
1652699743 inference_ID0_ID0000399 SUBMIT 8470462.0 condorpool_symlink - 25
1652699743 inference_ID0_ID0000039 SUBMIT 8470463.0 condorpool_symlink - 26
1652699743 inference_ID0_ID0000159 SUBMIT 8470464.0 condorpool_symlink - 27
1652699743 inference_ID0_ID0000033 SUBMIT 8470465.0 condorpool_symlink - 28
1652699743 inference_ID0_ID0000275 SUBMIT 8470466.0 condorpool_symlink - 29
1652699743 inference_ID0_ID0000153 SUBMIT 8470467.0 condorpool_symlink - 30
1652699743 inference_ID0_ID0000395 SUBMIT 8470468.0 condorpool_symlink - 31
1652699743 inference_ID0_ID0000035 SUBMIT 8470469.0 condorpool_symlink - 32
1652699743 inference_ID0_ID0000277 SUBMIT 8470470.0 condorpool_symlink - 33
1652699743 inference_ID0_ID0000155 SUBMIT 8470471.0 condorpool_symlink - 34
1652699743 inference_ID0_ID0000397 SUBMIT 8470472.0 condorpool_symlink - 35
1652699743 inference_ID0_ID0000271 SUBMIT 8470473.0 condorpool_symlink - 36
