Generating concrete workflow
2022.05.09 14:37:42.939 GMT: [WARNING]  --dax option is deprecated. The abstract workflow is passed via the last positional argument on the commandline. 
2022.05.09 14:37:42.951 GMT: [DEBUG]  Property Key pegasus.integrity.checking already set to nosymlink. Will not be set to - none 
2022.05.09 14:37:42.951 GMT: [DEBUG]  Property Key condor.periodic_remove already set to (JobStatus == 5) && ((CurrentTime - EnteredCurrentStatus) > 43200). Will not be set to - (JobStatus == 5) && ((CurrentTime - EnteredCurrentStatus) > 30) 
2022.05.09 14:37:42.952 GMT: [INFO]  Planner launched in the following directory /work/shashwat.singh/3gsky/prod/ET/300 
2022.05.09 14:37:42.952 GMT: [INFO]  Planner invoked with following arguments --conf ./pegasus-properties.conf --dir /local/user/shashwat.singh/pycbc-tmp.AFg8D9221H --submit --forward nogrid --output-sites local --sites condorpool_symlink,local --staging-site condorpool_symlink=local,local=local --cluster label,horizontal --cleanup inplace --relative-dir work -vvv --dax gw.dax  
2022.05.09 14:37:42.953 GMT: [CONFIG]  Pegasus Properties set by the user 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.catalog.replica.cache.asrc=true 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.catalog.replica.dax.asrc=true 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.catalog.workflow.amqp.url=amqp://friend:donatedata@msgs.pegasus.isi.edu:5672/prod/workflows 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.dir.staging.mapper=Flat 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.dir.storage.mapper=Replica 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.dir.storage.mapper.replica=File 
2022.05.09 14:37:42.954 GMT: [CONFIG]  pegasus.dir.storage.mapper.replica.file=output.map 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.dir.submit.mapper=Named 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.file.cleanup.scope=deferred 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.home.bindir=/software/tools/pegasus/5.0/bin 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.home.schemadir=/software/tools/pegasus/5.0/share/pegasus/schema 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.home.sharedstatedir=/software/tools/pegasus/5.0/share/pegasus 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.home.sysconfdir=/software/tools/pegasus/5.0/etc 
2022.05.09 14:37:42.955 GMT: [CONFIG]  pegasus.integrity.checking=nosymlink 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.metrics.app=ligo-pycbc 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.mode=development 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.monitord.encoding=json 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.register=False 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.selector.replica=Regex 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.1=file://(?!.*(cvmfs)).* 
2022.05.09 14:37:42.956 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.2=file:///cvmfs/.* 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.3=root://.* 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.4=gsiftp://red-gridftp.unl.edu.* 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.5=gridftp://.* 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.selector.replica.regex.rank.6=.* 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.transfer.bypass.input.staging=true 
2022.05.09 14:37:42.957 GMT: [CONFIG]  pegasus.transfer.links=true 
2022.05.09 14:37:43.469 GMT: [INFO] event.pegasus.add.data-dependencies dax.id gw.dax-0  - STARTED 
2022.05.09 14:37:43.469 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000109 -> plot_ID1_ID0000110 
2022.05.09 14:37:43.469 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000113 -> plot_ID1_ID0000114 
2022.05.09 14:37:43.469 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000111 -> plot_ID1_ID0000112 
2022.05.09 14:37:43.469 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000117 -> plot_ID1_ID0000118 
2022.05.09 14:37:43.470 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000115 -> plot_ID1_ID0000116 
2022.05.09 14:37:43.470 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000099 -> plot_ID1_ID0000100 
2022.05.09 14:37:43.470 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000103 -> plot_ID1_ID0000104 
2022.05.09 14:37:43.470 GMT: [DEBUG]  Adding Data Dependency edge inference_ID0_ID0000101 -> plot_ID1_ID0000102 
