1652877758 INTERNAL *** MONITORD_STARTED ***
1652877755 INTERNAL *** DAGMAN_STARTED 8528334.0 ***
1652877759 create_dir_gw.dax_0_local SUBMIT 8528335.0 local - 1
1652877761 create_dir_gw.dax_0_local EXECUTE 8528335.0 local - 1
1652877764 create_dir_gw.dax_0_local JOB_TERMINATED 8528335.0 local - 1
1652877764 create_dir_gw.dax_0_local JOB_SUCCESS 0 local - 1
1652877764 create_dir_gw.dax_0_local POST_SCRIPT_STARTED 8528335.0 local - 1
1652877765 create_dir_gw.dax_0_local POST_SCRIPT_TERMINATED 8528335.0 local - 1
1652877769 create_dir_gw.dax_0_local POST_SCRIPT_SUCCESS 0 local - 1
1652877774 inference_ID0_ID0000029 SUBMIT 8528336.0 condorpool_symlink - 2
1652877774 inference_ID0_ID0000147 SUBMIT 8528337.0 condorpool_symlink - 3
1652877774 inference_ID0_ID0000389 SUBMIT 8528338.0 condorpool_symlink - 4
1652877774 inference_ID0_ID0000025 SUBMIT 8528339.0 condorpool_symlink - 5
1652877774 inference_ID0_ID0000267 SUBMIT 8528340.0 condorpool_symlink - 6
1652877774 inference_ID0_ID0000149 SUBMIT 8528341.0 condorpool_symlink - 7
1652877774 inference_ID0_ID0000027 SUBMIT 8528342.0 condorpool_symlink - 8
1652877774 inference_ID0_ID0000269 SUBMIT 8528343.0 condorpool_symlink - 9
1652877775 inference_ID0_ID0000143 SUBMIT 8528344.0 condorpool_symlink - 10
1652877775 inference_ID0_ID0000385 SUBMIT 8528345.0 condorpool_symlink - 11
1652877775 inference_ID0_ID0000021 SUBMIT 8528346.0 condorpool_symlink - 12
1652877775 inference_ID0_ID0000263 SUBMIT 8528347.0 condorpool_symlink - 13
1652877775 inference_ID0_ID0000145 SUBMIT 8528348.0 condorpool_symlink - 14
1652877775 inference_ID0_ID0000387 SUBMIT 8528349.0 condorpool_symlink - 15
1652877775 inference_ID0_ID0000023 SUBMIT 8528350.0 condorpool_symlink - 16
1652877775 inference_ID0_ID0000265 SUBMIT 8528351.0 condorpool_symlink - 17
1652877775 inference_ID0_ID0000381 SUBMIT 8528352.0 condorpool_symlink - 18
1652877775 inference_ID0_ID0000141 SUBMIT 8528353.0 condorpool_symlink - 19
1652877775 inference_ID0_ID0000383 SUBMIT 8528354.0 condorpool_symlink - 20
1652877775 inference_ID0_ID0000261 SUBMIT 8528355.0 condorpool_symlink - 21
1652877775 inference_ID0_ID0000037 SUBMIT 8528356.0 condorpool_symlink - 22
1652877775 inference_ID0_ID0000279 SUBMIT 8528357.0 condorpool_symlink - 23
1652877776 inference_ID0_ID0000157 SUBMIT 8528358.0 condorpool_symlink - 24
1652877776 inference_ID0_ID0000399 SUBMIT 8528359.0 condorpool_symlink - 25
1652877776 inference_ID0_ID0000039 SUBMIT 8528360.0 condorpool_symlink - 26
1652877776 inference_ID0_ID0000159 SUBMIT 8528361.0 condorpool_symlink - 27
1652877776 inference_ID0_ID0000033 SUBMIT 8528362.0 condorpool_symlink - 28
1652877776 inference_ID0_ID0000275 SUBMIT 8528363.0 condorpool_symlink - 29
1652877776 inference_ID0_ID0000153 SUBMIT 8528364.0 condorpool_symlink - 30
1652877776 inference_ID0_ID0000395 SUBMIT 8528365.0 condorpool_symlink - 31
1652877776 inference_ID0_ID0000035 SUBMIT 8528366.0 condorpool_symlink - 32
1652877776 inference_ID0_ID0000277 SUBMIT 8528367.0 condorpool_symlink - 33
1652877777 inference_ID0_ID0000155 SUBMIT 8528368.0 condorpool_symlink - 34
1652877777 inference_ID0_ID0000397 SUBMIT 8528369.0 condorpool_symlink - 35
1652877777 inference_ID0_ID0000271 SUBMIT 8528370.0 condorpool_symlink - 36
1652877777 inference_ID0_ID0000391 SUBMIT 8528371.0 condorpool_symlink - 37
